Coins_date,id,Price,Market Cap,Total volume
2018-09-10 00:00:00.000,binancecoin,9.5,931723647.3854008,14840544.845403725
2018-09-11 00:00:00.000,binancecoin,9.51,930452971.8574051,13934169.580504464
2018-09-12 00:00:00.000,binancecoin,9.35,916422641.7075167,21380693.61342372
2018-09-13 00:00:00.000,binancecoin,9.2,879018553.6451101,22734153.712239053
2018-09-14 00:00:00.000,binancecoin,9.61,918746987.4244486,26269982.667558763
2018-09-15 00:00:00.000,binancecoin,9.92,948229137.4680252,27479448.512823038
2018-09-16 00:00:00.000,binancecoin,10.11,965043148.9390482,29326748.4362028
2018-09-17 00:00:00.000,binancecoin,9.94,949061082.3781854,22681196.07350683
2018-09-18 00:00:00.000,binancecoin,9.37,894716967.8963991,22485356.719266515
2018-09-19 00:00:00.000,binancecoin,9.55,912577463.4329294,24273542.414302148
2018-09-20 00:00:00.000,binancecoin,9.61,917696686.2427154,25292364.05885539
2018-09-21 00:00:00.000,binancecoin,10.05,960259133.2250421,28762647.118524034
2018-09-22 00:00:00.000,binancecoin,10.45,997832194.2530056,32382257.28774937
2018-09-23 00:00:00.000,binancecoin,10.32,985393112.9188972,20101459.323005874
2018-09-24 00:00:00.000,binancecoin,10.31,1488079900.899756,22670196.30052995
2018-09-25 00:00:00.000,binancecoin,10.04,1450237751.6537666,19289806.5341558
2018-09-26 00:00:00.000,binancecoin,9.79,1411896130.944883,17972383.461828545
2018-09-27 00:00:00.000,binancecoin,9.74,1407777728.6870413,17926528.029457357
2018-09-28 00:00:00.000,binancecoin,10.06,1452352372.6016557,28072584.63510299
2018-09-29 00:00:00.000,binancecoin,9.97,1440706057.7683766,24743292.527872626
2018-09-30 00:00:00.000,binancecoin,9.97,1440392829.020447,31593173.318399135
2018-10-01 00:00:00.000,binancecoin,10.01,1446314353.4252834,22991399.075537898
2018-10-02 00:00:00.000,binancecoin,9.96,1439680403.2376113,21256339.952742774
2018-10-03 00:00:00.000,binancecoin,10.34,1493274838.0802064,36332455.628000565
2018-10-04 00:00:00.000,binancecoin,10.28,1483326566.4389458,37700291.34917717
2018-10-05 00:00:00.000,binancecoin,10.31,1488751252.2480085,33254200.5692766
2018-10-06 00:00:00.000,binancecoin,10.65,1538461617.48646,41257129.723922886
2018-10-07 00:00:00.000,binancecoin,10.43,1506162297.8008811,31728719.618392657
2018-10-08 00:00:00.000,binancecoin,10.55,1523859036.0110536,33499771.824365538
2018-10-09 00:00:00.000,binancecoin,10.56,1525303120.0920768,32549460.730528533
2018-10-10 00:00:00.000,binancecoin,10.43,1505859403.4593775,28417353.921548747
2018-10-11 00:00:00.000,binancecoin,10.38,1493947357.8534448,26768992.70812746
2018-10-12 00:00:00.000,binancecoin,9.29,1341784372.8420258,24124215.68335729
2018-10-13 00:00:00.000,binancecoin,9.55,1379371138.4628596,26037531.86750197
2018-10-14 00:00:00.000,binancecoin,9.61,1388285752.4035625,26140290.659200788
2018-10-15 00:00:00.000,binancecoin,9.58,1384751890.523141,20781939.74881678
2018-10-16 00:00:00.000,binancecoin,10.47,1513996077.1498418,47373536.67079606
2018-10-17 00:00:00.000,binancecoin,10.15,1464680645.4870884,30773523.868654568
2018-10-18 00:00:00.000,binancecoin,10.12,1461507184.4319584,35312865.019026786
2018-10-19 00:00:00.000,binancecoin,9.85,1422818505.6963532,29839206.556109276
2018-10-20 00:00:00.000,binancecoin,9.85,1423197773.01452,25904760.119764447
2018-10-21 00:00:00.000,binancecoin,9.88,1426891232.791207,21715191.910345595
2018-10-22 00:00:00.000,binancecoin,9.89,1428730146.9480157,26489723.639546797
2018-10-23 00:00:00.000,binancecoin,9.82,1418914420.2464166,22162400.32660498
2018-10-24 00:00:00.000,binancecoin,9.85,1423175948.5071583,29469396.740041867
2018-10-25 00:00:00.000,binancecoin,9.76,1410437571.060247,25796971.78121257
2018-10-26 00:00:00.000,binancecoin,9.74,1406718416.078793,21511304.756789215
2018-10-27 00:00:00.000,binancecoin,9.76,1409211367.354948,21058558.02065722
2018-10-28 00:00:00.000,binancecoin,9.69,1399453693.5336397,21566946.368763372
2018-10-29 00:00:00.000,binancecoin,9.7,1398368251.024187,21788778.692538057
2018-10-30 00:00:00.000,binancecoin,9.39,1356722024.7165382,16899091.906813875
2018-10-31 00:00:00.000,binancecoin,9.44,1362381725.6963894,14604141.53155675
2018-11-01 00:00:00.000,binancecoin,9.48,1369356960.890323,18835216.899642177
2018-11-02 00:00:00.000,binancecoin,9.57,1385407963.2317097,16905710.04970785
2018-11-03 00:00:00.000,binancecoin,9.65,1393273729.126173,18314703.362777498
2018-11-04 00:00:00.000,binancecoin,9.58,1383900919.2174048,17270487.44758417
2018-11-05 00:00:00.000,binancecoin,9.45,1365083899.5690448,23494936.484116983
2018-11-06 00:00:00.000,binancecoin,9.7,1401181759.1821861,17943490.353938513
2018-11-07 00:00:00.000,binancecoin,9.81,1415863696.1765256,18080929.422675062
2018-11-08 00:00:00.000,binancecoin,9.88,1423432059.653836,23171432.309874993
2018-11-09 00:00:00.000,binancecoin,9.7,1399286952.437985,16279644.18981581
2018-11-10 00:00:00.000,binancecoin,9.57,1385583161.041326,19399522.134972304
2018-11-11 00:00:00.000,binancecoin,9.58,1379806384.4448202,15138432.685738796
2018-11-12 00:00:00.000,binancecoin,9.53,1367649613.1151705,16427950.883806417
2018-11-13 00:00:00.000,binancecoin,9.41,1358172520.6334038,16020475.316721726
2018-11-14 00:00:00.000,binancecoin,9.31,1346186902.3252332,16920000.954786327
2018-11-15 00:00:00.000,binancecoin,8.53,1227621934.1490834,17038371.870720822
2018-11-16 00:00:00.000,binancecoin,8.25,1191248357.2253127,18548034.78075599
2018-11-17 00:00:00.000,binancecoin,7.93,1144262270.9344618,18418797.086160064
2018-11-18 00:00:00.000,binancecoin,7.81,1127318810.5123966,17778092.140150476
2018-11-19 00:00:00.000,binancecoin,8.02,1155425816.9829404,14437436.095156396
2018-11-20 00:00:00.000,binancecoin,6.7,968279561.6921016,19498288.47589504
2018-11-21 00:00:00.000,binancecoin,5.83,832541432.755894,20260209.733954318
2018-11-22 00:00:00.000,binancecoin,6.23,899552607.7997693,13656213.695527907
2018-11-23 00:00:00.000,binancecoin,5.72,832630400.7391713,9390908.412665587
2018-11-24 00:00:00.000,binancecoin,5.62,812176757.4390069,9136662.563391987
